vehicle_id;euro;model;model_extended;brand;configuration;cabin;length;width;height;power;mega;mileage;wheelbase;gearbox;registered_at;retarder;stock_at;entry_at;internet_price;is_new;production_at;cabin;brand;configuration;gearbox;has_t1;total_weight;net_weight;fuel;has_crane;crane_brand;crane_ton;crane_location;has_crane_hook;bed_amount;tank_amount;has_hydraulics;is_damaged;axle_reduction;driver_side;suspension;retarder_type;has_airco
345915;6;ACTROS;ACTROS 1845;MERCEDES;4X2;GIGASPACE;625;254;390;450;1;448390;370;AUTOMAAT;4/10/2022;true;12/11/2025;7/11/2025;45900;false;13/12/2021;GIGASPACE;MERCEDES;4X2;AUTOMAAT;0;18000;8201;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
331616;6;ACTROS;ACTROS 1845;MERCEDES;4X2;CLASSICSPACE;620;247;350;450;0;404200;370;AUTOMAAT;10/09/2019;true;18/07/2025;16/07/2025;21900;false;21/03/2019;CLASSICSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;7473;diesel;false;;;;false;;1;false;false;single;L;;Retarder;true
331620;6;ACTROS;ACTROS 1845;MERCEDES;4X2;CLASSICSPACE;620;255;345;450;0;448757;370;AUTOMAAT;10/09/2019;true;29/07/2025;24/07/2025;21900;false;22/05/2019;CLASSICSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;7473;diesel;false;;;;false;;1;false;false;single;L;;Retarder;true
345625;6;ACTROS;ACTROS 1951;MERCEDES;4X2;BIGSPACE;625;255;394;510;0;557619;370;AUTOMAAT;4/01/2021;true;19/11/2025;11/11/2025;46400;false;15/12/2020;BIGSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;8534;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
328180;6;ACTROS;ACTROS 1845;MERCEDES;4X2;CLASSICSPACE;620;250;355;450;0;372358;370;AUTOMAAT;28/01/2019;true;11/06/2025;2/06/2025;22400;false;31/10/2018;CLASSICSPACE;MERCEDES;4X2;AUTOMAAT;0;19000;0;diesel;false;;;;false;;1;false;false;single;L;;Retarder;true
339880;6;ACTROS;ACTROS 1845;MERCEDES;4X2;BIGSPACE;640;254;400;450;0;248447;385;AUTOMAAT;25/07/2023;false;30/09/2025;24/09/2025;67900;false;6/06/2023;BIGSPACE;MERCEDES;4X2;AUTOMAAT;0;18000;8175;diesel;false;;;;false;;2;false;false;single;L;;;
341103;2;TGS;TGS 33.440;MAN;6X4;;740;255;315;440;0;0;;AUTOMAAT;1/01/9999;false;8/12/2025;16/10/2025;88900;true;;;MAN;6X4;AUTOMAAT;0;;0;diesel;false;;;;false;;1;false;false;hub;L;;;false
346774;6;R;R450;SCANIA;4X2;CR20 HIGHLINE;595;255;380;450;1;690129;375;AUTOMAAT;11/09/2020;true;27/11/2025;26/11/2025;39900;false;21/08/2020;CR20 HIGHLINE;SCANIA;4X2;AUTOMAAT;0;19000;8518;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
342410;6;T;T 520;RENAULT;6X4;SLAAP;775;255;385;520;0;336428;390;AUTOMAAT;12/05/2020;false;13/10/2025;9/10/2025;169900;false;2/05/2019;SLAAP;RENAULT;6X4;AUTOMAAT;0;29000;17408;diesel;true;HIAB;;;true;;1;true;false;hub;L;;;
318648;6;S;S460;SCANIA;4X2;CS20 HIGHLINE;615;254;400;460;0;261955;375;AUTOMAAT;18/03/2023;true;9/04/2025;17/03/2025;68900;false;20/02/2023;CS20 HIGHLINE;SCANIA;4X2;AUTOMAAT;0;19000;8681;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
339207;6;F-MAX;F-MAX 500;FORD;4X2;MEGA CAB;590;255;398;500;0;342859;360;AUTOMAAT;27/06/2022;true;20/11/2025;4/11/2025;31400;false;;MEGA CAB;FORD;4X2;AUTOMAAT;0;18000;8553;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
348716;6;TGX;TGX 18.520;MAN;4X2;GX;600;255;395;520;0;386;360;AUTOMAAT;2/12/2025;true;5/12/2025;3/12/2025;99500;false;6/05/2025;GX;MAN;4X2;AUTOMAAT;0;18000;7844;diesel;false;;;;false;;2;false;false;;L;;Retarder;
339211;6;F-MAX;F-MAX 500;FORD;4X2;MEGA CAB;590;255;400;500;0;367333;357;AUTOMAAT;1/06/2022;true;31/10/2025;17/10/2025;31400;false;;MEGA CAB;FORD;4X2;AUTOMAAT;0;18000;0;diesel;false;;;;false;;2;false;false;single;L;;Retarder;
